	CB10_S1_L001	CB11_S1_L001	CB12_S1_L001	CB13_S1_L001	CB2_S1_L001	CB3_S1_L001	CB4_S1_L001	CB5_S1_L001	CB6_S1_L001	CB7_S1_L001	CB8_S1_L001	CB9_S1_L001
ASV_1	32305	24949	333	8367	4540	33519	30872	11856	899	4682	558	13814
ASV_2	0	0	0	0	13911	1472	2384	13499	156	4	0	0
ASV_3	0	5	5	0	4800	0	0	0	538	81	8619	11197
ASV_4	129	104	790	441	0	130	933	1703	6707	2261	2038	950
ASV_5	0	0	0	0	80	16	74	267	368	8631	2374	322
ASV_6	0	0	8	6258	343	140	86	110	447	14	0	6
ASV_7	0	0	0	0	4437	0	0	0	109	22	703	266
ASV_8	68	93	66	0	188	0	0	0	401	62	2207	2413
ASV_9	635	869	0	0	2246	0	0	0	0	0	344	226
ASV_10	561	408	70	0	0	0	0	0	384	125	2520	251
ASV_11	0	0	3789	0	0	0	0	0	0	0	0	0
ASV_12	0	57	77	0	328	0	0	0	481	0	1553	1232
ASV_13	0	0	0	0	0	0	0	0	919	84	2094	441
ASV_14	439	208	728	0	348	0	0	0	517	0	980	257
ASV_15	0	0	795	1895	0	18	66	121	212	149	66	0
ASV_16	0	0	288	446	0	239	244	207	436	1315	0	0
ASV_17	126	2021	0	0	113	17	39	378	163	0	123	48
ASV_18	0	2	0	0	23	0	0	0	26	242	1484	1106
ASV_19	0	0	726	1613	0	45	45	39	99	0	0	0
ASV_20	0	0	0	0	446	119	211	536	992	43	0	0
ASV_21	0	0	0	0	1095	114	189	844	0	0	0	0
ASV_22	44	24	359	673	78	33	26	23	132	149	493	165
ASV_23	0	0	2130	0	0	0	0	0	0	0	0	0
ASV_24	250	185	251	0	431	0	0	0	282	7	329	156
ASV_25	0	90	63	0	280	0	0	0	83	29	603	742
ASV_26	0	0	0	1133	0	231	130	174	94	4	0	0
ASV_27	0	0	1582	0	0	0	0	0	0	0	0	0
ASV_28	0	57	0	0	0	0	0	0	259	921	106	29
ASV_29	0	0	114	102	8	6	8	24	114	44	878	64
ASV_30	29	529	0	0	25	3	15	0	44	714	0	0
ASV_31	0	0	1213	143	0	0	0	0	0	0	0	0
ASV_32	241	201	23	14	0	8	0	0	5	25	305	510
ASV_33	0	0	0	0	0	0	0	0	0	1026	230	39
ASV_34	0	0	0	0	25	0	0	0	0	955	197	46
ASV_35	4	15	0	0	28	2	25	44	287	218	557	39
ASV_36	0	0	69	1116	0	0	0	0	0	0	0	0
ASV_37	0	0	0	0	0	0	0	0	19	1106	36	3
ASV_38	0	0	1137	0	0	0	0	0	0	0	0	0
ASV_39	0	0	0	15	0	140	365	149	0	439	0	0
ASV_40	0	0	1101	0	0	0	0	0	0	0	0	0
ASV_41	0	0	0	38	0	106	129	167	367	288	0	0
ASV_42	26	521	0	0	0	0	0	0	75	0	322	142
ASV_43	0	0	0	0	0	10	51	129	0	864	0	0
ASV_44	0	0	0	0	0	0	0	0	67	0	806	156
ASV_45	0	0	0	992	0	0	0	0	0	0	0	0
ASV_46	0	0	0	0	0	0	0	0	47	942	0	0
ASV_47	537	393	49	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	937	0	0	0	0	0	0	0
ASV_49	64	867	0	0	0	0	0	0	0	0	0	0
ASV_50	0	0	0	0	0	0	0	0	238	16	570	107
ASV_51	0	0	0	0	0	0	0	0	129	778	0	0
ASV_52	0	0	0	0	0	20	36	835	0	3	0	0
ASV_53	260	615	0	0	0	0	0	0	0	0	0	0
ASV_54	0	0	853	0	0	0	0	0	0	0	0	0
ASV_55	0	0	208	595	0	0	0	0	0	0	0	0
ASV_56	0	0	742	0	0	0	0	0	0	0	0	0
ASV_57	42	21	0	0	36	10	18	209	356	30	0	0
