	CB10	CB11	CB12	CB13	CB2	CB3	CB4	CB5	CB6	CB7	CB8	CB9	taxonomy
ASV_1	32305	24949	333	8367	4540	33519	30872	11856	899	4682	558	13814	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;
ASV_2	0	0	0	0	13911	1472	2384	13499	156	4	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;
ASV_3	0	5	5	0	4800	0	0	0	538	81	8619	11197	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_4	129	104	790	441	0	130	933	1703	6707	2261	2038	950	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_5	0	0	0	0	80	16	74	267	368	8631	2374	322	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_6	0	0	8	6258	343	140	86	110	447	14	0	6	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;
ASV_7	0	0	0	0	4437	0	0	0	109	22	703	266	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_8	68	93	66	0	188	0	0	0	401	62	2207	2413	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_9	635	869	0	0	2246	0	0	0	0	0	344	226	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_10	561	408	70	0	0	0	0	0	384	125	2520	251	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_11	0	0	3789	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;
ASV_12	0	57	77	0	328	0	0	0	481	0	1553	1232	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_13	0	0	0	0	0	0	0	0	919	84	2094	441	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_14	439	208	728	0	348	0	0	0	517	0	980	257	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_15	0	0	795	1895	0	18	66	121	212	149	66	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_16	0	0	288	446	0	239	244	207	436	1315	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_17	126	2021	0	0	113	17	39	378	163	0	123	48	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV_18	0	2	0	0	23	0	0	0	26	242	1484	1106	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;
ASV_19	0	0	726	1613	0	45	45	39	99	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_20	0	0	0	0	446	119	211	536	992	43	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_21	0	0	0	0	1095	114	189	844	0	0	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;
ASV_22	44	24	359	673	78	33	26	23	132	149	493	165	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_23	0	0	2130	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_24	250	185	251	0	431	0	0	0	282	7	329	156	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
