""	"dada2_input"	"filtered"	"dada_f"	"dada_r"	"merged"	"nonchim"	"perc_reads_retained"	"abund_filt_perc"
"CB10_S1_L001"	37135	36905	36816	36838	36790	36764	99	99.4
"CB11_S1_L001"	37145	36840	36773	36808	36758	36758	99	98
"CB12_S1_L001"	37102	36875	35376	35715	33521	28709	77.4	89.9
"CB13_S1_L001"	37129	36829	35837	35852	34737	32106	86.5	93.7
"CB2_S1_L001"	37181	36818	36776	36792	36761	36761	98.9	98.4
"CB3_S1_L001"	37299	36831	36787	36795	36754	36754	98.5	99.8
"CB4_S1_L001"	37225	36890	36829	36826	36754	36754	98.7	99.6
"CB5_S1_L001"	38193	34863	34835	34835	34801	34677	90.8	98.2
"CB6_S1_L001"	44301	22718	22673	22697	22646	22574	51	98.2
"CB7_S1_L001"	38258	34838	34781	34791	34683	32594	85.2	97.5
"CB8_S1_L001"	37162	36760	36608	36591	36462	34913	93.9	98.7
"CB9_S1_L001"	37494	36270	36237	36246	36205	36132	96.4	99
